Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date
S0972,M-47,KO,spleen,Ifng,21.83,3,2026.04.18
S1581,Mouse76,KO ,thymus,Ifng,21.57,3,17.03.2026
S0466 ,Mouse 23,ko,spleen,Ifng,22.12,1,04-29-2026
S0141,Mouse 7,WT,Lymph Node,Cd8a,21.82,3,2026.04.10
S1585,Mouse76,KO ,thymus,Cd4,19.61,1,03-17-2026
S0109,Mouse 6,Het,thymus,Ifng,22.04,1,03-22-2026
S1577,Mouse76,KO ,thymus,IL2,27.23,2,17.03.2026
s0218,M-11,KO,Lymph Node,FOXP3,30.15,2,17.04.2026
S0652,M-32,WT,Lymph Node,Il2,24.65,1,2026.03.05
S0003,mouse_1,ko,Spleen,Il2,24.39,3,15.03.2026
S1090,mouse_52,KO,Spleen,Gapdh,18.04,1,04-17-2026
S1692,Mouse81,WT,Spleen,Cd4,18.63,3,03-20-2026
S0579,Mouse28,KO,Spleen,Cd4,19.84,3,2026.03.28
S0397 ,Mouse 19,KO,Lymph Node,Gapdh,,1,2026.03.11
S1628 ,Mouse78,wt,spleen,Cd4,20.14,2,04-21-2026
S0695,Mouse 34,HET,spleen,Il2,27.17,2,08/04/2026
S0789 ,Mouse 38,KO,Thymus,Cd4,19.89,3,04-18-2026
S0345,Mouse 17,WT,spleen,Foxp3,30.26,3,2026.03.10
S0587 ,Mouse28,KO,Spleen,Gapdh,18.25,2,28.03.2026
S0922,Mouse44,KO,spleen,GAPDH,17.36,1,11.03.2026
S1649,mouse_79,WT,thymus,Cd4,19.9,2,03-23-2026
S1519,Mouse73,WT,Lymph Node,Foxp3,25.33,1,04-14-2026
S1337,Mouse 64,WT,Lymph Node,Cd8a,20.28,2,07.04.2026
S1316,mouse_63,KO,spleen,Cd8a,27.21,2,12/04/2026
S1306,mouse_63,KO,spleen,Ifng,21.82,1,04-12-2026
S1098,Mouse 53,WT,thymus,Ifng,22.18,3,30/03/2026
S_1354,mouse_65,WT,spleen,CD4,20.73,1,2026.03.14
S1554,Mouse74,WT,Spleen,Gapdh,17.45,3,27.04.2026
S0763,Mouse 37,Het,Spleen,FOXP3,26.34,1,03/03/2026
S0201,M-10,wt,Spleen,Cd4,20.31,3,10.04.2026
S1442,Mouse69,WT,Lymph Node,Cd8a,20.44,2,2026.04.02
S1646,mouse_79,WT,thymus,FOXP3,26.21,2,03-23-2026
S0359 ,Mouse 18,ko,Spleen,Il2,23.74,2,2026.04.19
S1445,Mouse69,WT,Lymph Node,Tnfa,23.16,2,02/04/2026
S1551,Mouse74,WT,Spleen,TNFA,22.93,3,27.04.2026
S_1796,mouse_86,WT,spleen,Cd4,19.63,2,18.03.2026
s0528,Mouse 26,WT ,Lymph Node,Il2,23.52,3,04-05-2026
S1181 ,M-57,WT,Thymus,Ifng,21.57,2,04-13-2026
S1799,mouse_86,WT,spleen,Cd8a,20.5,2,18/03/2026
s1317,mouse_63,KO,spleen,Cd8a,Undetermined,3,12.04.2026
S0505 ,mouse_25,KO,thymus,Il2,27.1,1,03-21-2026
S1501,Mouse72,ko,Thymus,Cd4,20.69,1,28/03/2026
S1272,mouse_61,ko,spleen,Cd4,19.55,3,11/03/2026
S0364,Mouse 18,ko,Spleen,Foxp3,26.59,1,19.04.2026
S1187,M-57,WT,Thymus,Cd4,19.5,2,04-13-2026
