Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S0972,Mouse47,KO,Spleen,Ifng,21.83,3,2026-04-18,False
S1581,Mouse76,KO,Thymus,Ifng,21.57,3,2026-03-17,False
S0466 ,Mouse23,KO,Spleen,Ifng,22.12,1,2026-04-29,False
S0141,Mouse7,WT,Lymph Node,Cd8a,21.82,3,2026-10-04,False
S1585,Mouse76,KO,Thymus,Cd4,19.61,1,2026-03-17,False
S0109,Mouse6,HET,Thymus,Ifng,22.04,1,2026-03-22,False
S1577,Mouse76,KO,Thymus,Il2,27.23,2,2026-03-17,False
s0218,Mouse11,KO,Lymph Node,Foxp3,30.15,2,2026-04-17,False
S0652,Mouse32,WT,Lymph Node,Il2,24.65,1,2026-05-03,False
S0003,Mouse1,KO,Spleen,Il2,24.39,3,2026-03-15,False
S1090,Mouse52,KO,Spleen,Gapdh,18.04,1,2026-04-17,False
S1692,Mouse81,WT,Spleen,Cd4,18.63,3,2026-03-20,False
S0579,Mouse28,KO,Spleen,Cd4,19.84,3,2026-03-28,False
S0397 ,Mouse19,KO,Lymph Node,Gapdh,,1,2026-11-03,False
S1628 ,Mouse78,WT,Spleen,Cd4,20.14,2,2026-04-21,False
S0695,Mouse34,HET,Spleen,Il2,27.17,2,2026-04-08,False
S0789 ,Mouse38,KO,Thymus,Cd4,19.89,3,2026-04-18,False
S0345,Mouse17,WT,Spleen,Foxp3,30.26,3,2026-10-03,False
S0587 ,Mouse28,KO,Spleen,Gapdh,18.25,2,2026-03-28,False
S0922,Mouse44,KO,Spleen,Gapdh,17.36,1,2026-03-11,False
S1649,Mouse79,WT,Thymus,Cd4,19.9,2,2026-03-23,False
S1519,Mouse73,WT,Lymph Node,Foxp3,25.33,1,2026-04-14,False
S1337,Mouse64,WT,Lymph Node,Cd8a,20.28,2,2026-04-07,False
S1316,Mouse63,KO,Spleen,Cd8a,27.21,2,2026-04-12,False
S1306,Mouse63,KO,Spleen,Ifng,21.82,1,2026-12-04,False
S1098,Mouse53,WT,Thymus,Ifng,22.18,3,2026-03-30,False
S_1354,Mouse65,WT,Spleen,Cd4,20.73,1,2026-03-14,False
S1554,Mouse74,WT,Spleen,Gapdh,17.45,3,2026-04-27,False
S0763,Mouse37,HET,Spleen,Foxp3,26.34,1,2026-03-03,False
S0201,Mouse10,WT,Spleen,Cd4,20.31,3,2026-04-10,False
S1442,Mouse69,WT,Lymph Node,Cd8a,20.44,2,2026-02-04,False
S1646,Mouse79,WT,Thymus,Foxp3,26.21,2,2026-03-23,False
S0359 ,Mouse18,KO,Spleen,Il2,23.74,2,2026-04-19,False
S1445,Mouse69,WT,Lymph Node,Tnfa,23.16,2,2026-04-02,False
S1551,Mouse74,WT,Spleen,Tnfa,22.93,3,2026-04-27,False
S_1796,Mouse86,WT,Spleen,Cd4,19.63,2,2026-03-18,False
s0528,Mouse26,WT,Lymph Node,Il2,23.52,3,2026-05-04,False
S1181 ,Mouse57,WT,Thymus,Ifng,21.57,2,2026-04-13,False
S1799,Mouse86,WT,Spleen,Cd8a,20.5,2,2026-03-18,False
s1317,Mouse63,KO,Spleen,Cd8a,,3,2026-04-12,True
S0505 ,Mouse25,KO,Thymus,Il2,27.1,1,2026-03-21,False
S1501,Mouse72,KO,Thymus,Cd4,20.69,1,2026-03-28,False
S1272,Mouse61,KO,Spleen,Cd4,19.55,3,2026-03-11,False
S0364,Mouse18,KO,Spleen,Foxp3,26.59,1,2026-04-19,False
S1187,Mouse57,WT,Thymus,Cd4,19.5,2,2026-04-13,False
S0038,Mouse2,WT,Spleen,Tnfa,23.66,2,2026-04-02,False
S1667,Mouse80,WT,Spleen,Foxp3,26.02,2,2026-03-24,False
S0829,Mouse40,WT,Spleen,Cd4,19.63,1,2026-11-03,False
S0507,Mouse25,KO,Thymus,Il2,27.04,3,2026-03-21,False
S0749,Mouse36,KO,Spleen,Cd8a,21.42,2,2026-03-21,False
